message,classification
essa menina é louca!! aff!,1
boraaaaa?,0
pode ser considerado gatilho emocional ,0
"pro nível de igor vinícius e reinaldo sim, craque demais",0
sheilla e brait voltando caralhoooooo. meu tri tá vivo porraaaaaaaa vamo caralho vamoooo #voleinaglobo,1
eu volto umas 3 vzs a música só nesse rap do yoongi pq é bom pra caralho rapper de vdd https://t.co/ekkcivdoyn,1
"ai mano essa cena acaba comigo pqp brokeback mountain você acaba comigo...o mundo deveria ver esse filme, a atuação do heath ledger e do jake gyllenhaal são impecáveis https://t.co/ffcsaa6f59",0
"sextouuuu e o plano 茅 o mesmo, ficar em casa",0
"este meu presidente me enche de orgulho, bolsonaro 2022.",0
"a jp devia ter vergonha na cara e tirar fefrito e edgard do morning show.
só não caiu pra zero de audiência por causa do caio, mas se tirar o caio, fica com audiência negativa!
parece piada, mas os dois são tão ruins que podem, mesmo, negativar!",1
"@user @user @user greenwald é odiado pelos americanos patriotas.5 motivos
1-defendeu saddam
2-acusou obama de matar muslims inocentes
3-defendeu o operador da alqaeda awaki
4-afirmou que quem usa a palavra”terrorista” é racista
5-vazou informações confidenciais
 https://t.co/drdlmhvgih",0
vai fazer campanha pra argentina tb? o gado dele não vota lá...,1
"@user cala boca gripe, sabonete, bandeja 
ridícula, meio metro, palhaça, macaca sjajahjasjjss",1
"filho da puta mato a própria filha mano, q isso .",1
deviamos invadir o insta dessa carta capital e falar oq eles merecem ler...senti a angústia nas palavras da ministra damares...estou contigo,1
@user claro né ,0
rt @user ter sogra é bom mas ter sogra que gosta de vc é milllllll vezes melhor https://t.co/djo7fsfwrr,0
"tem época que eu to super tranquilo e acessivel, mas tambem puta que pariu tem época que basicamente eu to um nojo, quero saber de ninguem, quero falar com ninguem... 100% nem aí pra porra nenhuma, meu nivel opaco fica mais intenso e eu prefiro ficar isolado.",0
"[] astro au binwoo []

— moonbin é mandado para a casa de campo da família no interior, longe das farras e confusões. tudo era um tédio, exceto pelo rapaz que trabalhava para a família, dongmin, que acabou lhe chamando a atenção. 

#astro #아스트로 #binwoo #binu #비누 #빈우 https://t.co/a0gcuj6twn",0
não e só cara feia !,1
"to com tanta saudade do leo pqp, já fizeram 6 meses q vi ele",0
"toda vez que persegue alguém, bolsonaro cria potenciais nomes de congressistas para a próxima legislatura.",0
rt @user adoooora tanto que tem o trabalho de tirar print das coisas que eu posto... hahahahaha https://t.co/vzjs3bjlek,0
esse terrorista tem que voltar pra cadeia.,1
